City ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
6,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
22,Dong Hoi,VN,78.13,heavy intensity rain,17.4833,106.6,Nam Long Hotel
25,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Iralaya,HN,81.54,scattered clouds,15.0,-83.2333,Iglesia morava renovada
28,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
29,Zaraza,VE,77.86,overcast clouds,9.3503,-65.3245,Hotel Zaraza
32,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Martapura,ID,75.29,moderate rain,-3.4167,114.85,Montana Hotel Syariah
42,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
43,Sarangani,PH,83.8,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
45,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,hotel la terminal
47,Kavieng,PG,83.71,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
54,Atuona,PF,76.75,scattered clouds,-9.8,-139.0333,Villa Enata
55,Baracoa,CU,81.9,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
56,San Quintin,MX,76.12,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
57,Acarau,BR,78.21,broken clouds,-2.8856,-40.12,castelo pizzaria
70,East Millcreek,US,82.67,broken clouds,40.7,-111.8105,Hampton Inn & Suites Salt Lake City/University-Foothill Dr.
72,Salinopolis,BR,80.85,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
73,Vila Do Maio,CV,81.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
75,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
81,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
83,Aripuana,BR,75.06,broken clouds,-9.1667,-60.6333,
91,Mutis,CO,80.15,light rain,6.2262,-77.4044,Paraiso Escondido
93,Jackson,US,78.39,few clouds,42.4165,-122.8345,Agate Village Apartments
94,Sao Filipe,CV,80.26,clear sky,14.8961,-24.4956,Hotel Xaguate
95,Barinas,VE,86.04,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
102,Guasdualito,VE,89.6,scattered clouds,7.2424,-70.7324,Hotel Cuibas
107,Victoria,HK,83.32,moderate rain,22.2855,114.1577,Mini Central
108,Aswan,EG,89.91,clear sky,24.0934,32.907,Nuba Nile
115,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
116,Santa,PH,76.06,broken clouds,17.486,120.4348,Monte Leah Beach Resort
117,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
118,Marzuq,YE,76.1,clear sky,14.4,46.4667,حيد القفلة
119,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
120,Porbandar,IN,78.94,few clouds,21.6422,69.6093,Lords Inn Porbandar
123,Perumpavur,IN,76.91,mist,10.1333,76.4833,Hotel Travellers Inn
127,Manadhoo,MV,80.46,light rain,5.7667,73.3833,Bon Abri maldives
128,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
129,Harlingen,US,89.56,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
130,Sibolga,ID,75.24,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
133,Kloulklubed,PW,82.76,clear sky,7.0419,134.2556,Storyboard Beach Resort
135,Wanlaweyn,SO,75.52,overcast clouds,2.6185,44.8938,GAASHAAN HOME
138,Bajil,YE,87.06,broken clouds,15.0584,43.2851,فندق حضرموت
148,Tautira,PF,77.5,clear sky,-17.7333,-149.15,Pension Oaoa
150,Tual,ID,82.47,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
155,Lincoln,US,78.71,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
156,Coron,PH,76.93,moderate rain,11.9986,120.2043,Coron Westown Resort
157,Katherine,AU,77.32,few clouds,-14.4667,132.2667,Pine Tree Motel
158,Touros,BR,77.09,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
159,Gizo,SB,83.05,clear sky,-8.103,156.8419,Imagination Island
162,Isangel,VU,78.8,overcast clouds,-19.55,169.2667,Tanna Lodge
164,Itarema,BR,77.97,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
166,Thongwa,MM,77.16,light rain,16.7619,96.5278,Mhaw Wun Marlar Park
170,Singaraja,ID,79.2,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
177,Winslow,US,82.58,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
185,Saint-Louis,SN,89.24,overcast clouds,16.3333,-15.0,
188,Half Moon Bay,US,87.58,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
193,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
197,Sarankhola,BD,78.17,moderate rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
200,Kismayo,SO,76.3,scattered clouds,-0.3582,42.5454,Agan-Hotel
201,Bandarbeyla,SO,78.6,broken clouds,9.4942,50.8122,JABIR HOTEL
206,Varkkallai,IN,78.58,light rain,8.7341,76.7067,Hindustan Beach Retreat
211,Carutapera,BR,79.75,broken clouds,-1.195,-46.02,Lidera
213,Kudahuvadhoo,MV,78.21,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
214,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
222,Bela,IN,77.43,clear sky,25.9333,81.9833,Raj Bhawan
226,Trelew,AR,76.51,clear sky,-43.249,-65.3051,Hotel Touring Club
228,Hithadhoo,MV,81.54,overcast clouds,-0.6,73.0833,Scoop Guest House
232,Hun,LY,85.82,broken clouds,29.1268,15.9477,Alrwasi Hotel
234,Diamantino,BR,76.82,broken clouds,-14.4086,-56.4461,Hotel Delta
235,Cockburn Town,TC,81.36,few clouds,21.4612,-71.1419,Osprey Beach Hotel
236,Hobyo,SO,76.98,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
239,Clearlake,US,87.35,clear sky,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
241,Padang,ID,76.59,overcast clouds,-0.9492,100.3543,Mercure Padang
248,Wanning,CN,77.99,overcast clouds,18.8003,110.3967,Paradise Hotel
262,Monywa,MM,80.22,overcast clouds,22.1167,95.1333,Monywa Hotel
268,Trairi,BR,77.94,broken clouds,-3.2778,-39.2689,janelas do mar
270,Meulaboh,ID,75.04,moderate rain,4.1363,96.1285,Kost Pria
279,Marsaxlokk,MT,76.08,few clouds,35.8419,14.5431,Water's Edge
281,Balarampur,IN,75.22,broken clouds,23.1167,86.2167,Ashok general store
