City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dikson,73.5069,80.5464,33.64,72,100,20.0,RU,2022-09-24 10:4007
1,Hermanus,-34.4187,19.2345,69.8,60,100,8.16,ZA,2022-09-24 10:4008
2,Rikitea,-23.1203,-134.9692,69.89,69,49,10.25,PF,2022-09-24 10:4009
3,Airai,-8.9266,125.4092,62.13,82,62,0.87,TL,2022-09-24 10:4009
4,San Lorenzo,-25.3333,-57.5333,54.59,66,0,7.0,PY,2022-09-24 10:3629
5,Avarua,-21.2078,-159.775,73.45,73,75,18.41,CK,2022-09-24 10:4010
6,Codrington,-38.2667,141.9667,41.23,74,9,5.14,AU,2022-09-24 10:4010
7,Butaritari,3.0707,172.7902,81.45,77,43,10.92,KI,2022-09-24 10:4010
8,Provideniya,64.3833,-173.3,38.17,67,100,13.2,RU,2022-09-24 10:4011
9,Mataura,-46.1927,168.8643,49.48,99,99,2.51,NZ,2022-09-24 10:4011
10,Hasaki,35.7333,140.8333,72.28,93,48,2.77,JP,2022-09-24 10:4012
11,Kodiak,57.79,-152.4072,40.51,81,0,4.61,US,2022-09-24 10:4012
12,Padre Paraiso,-17.0742,-41.4844,64.67,96,100,5.17,BR,2022-09-24 10:4012
13,Sitka,57.0531,-135.33,55.29,76,100,11.5,US,2022-09-24 10:4013
14,Lagoa,39.05,-27.9833,73.04,83,95,26.28,PT,2022-09-24 10:4013
15,Ushuaia,-54.8,-68.3,37.06,87,100,20.71,AR,2022-09-24 10:4014
16,Albany,42.6001,-73.9662,46.06,84,0,9.31,US,2022-09-24 10:3848
17,Hamilton,39.1834,-84.5333,56.75,92,100,4.61,US,2022-09-24 10:3517
18,Iqaluit,63.7506,-68.5145,24.53,86,0,3.44,CA,2022-09-24 10:4015
19,Rantepao,-2.9701,119.8978,67.21,98,76,2.04,ID,2022-09-24 10:4015
20,Qaanaaq,77.484,-69.3632,8.55,75,68,8.93,GL,2022-09-24 10:4016
21,Krasnoturansk,54.3186,91.5639,52.61,46,74,7.96,RU,2022-09-24 10:4016
22,Vaini,-21.2,-175.2,75.36,94,40,6.91,TO,2022-09-24 10:4017
23,Asau,46.4333,26.4,58.28,41,49,5.17,RO,2022-09-24 10:4017
24,Cidreira,-30.1811,-50.2056,53.65,77,1,7.65,BR,2022-09-24 10:4018
25,Coahuayana,18.7333,-103.6833,74.59,93,31,3.58,MX,2022-09-24 10:4018
26,Port Elizabeth,-33.918,25.5701,72.1,70,20,4.61,ZA,2022-09-24 10:4019
27,Busselton,-33.65,115.3333,52.21,73,39,8.66,AU,2022-09-24 10:4019
28,Thompson,55.7435,-97.8558,51.96,87,75,2.3,CA,2022-09-24 10:4020
29,Broken Hill,-31.95,141.4333,59.94,49,0,5.48,AU,2022-09-24 10:4020
30,Lata,40.1629,-8.3327,74.07,53,88,6.33,PT,2022-09-24 10:4020
31,Jamestown,42.097,-79.2353,47.71,79,0,3.0,US,2022-09-24 10:3712
32,Jalu,29.0331,21.5482,93.78,29,24,15.17,LY,2022-09-24 10:4021
33,Sol-Iletsk,51.1631,54.9918,78.48,41,4,11.95,RU,2022-09-24 10:4022
34,Dubovskoye,47.4092,42.7575,60.82,62,100,12.53,RU,2022-09-24 10:4022
35,Northam,51.0333,-4.2167,58.6,70,51,13.24,GB,2022-09-24 10:4023
36,Kruisfontein,-34.0033,24.7314,69.89,44,100,4.27,ZA,2022-09-24 10:4023
37,Urambo,-5.0667,32.05,92.28,19,42,7.18,TZ,2022-09-24 10:4024
38,Georgetown,5.4112,100.3354,85.95,77,20,5.99,MY,2022-09-24 10:4005
39,Flekkefjord,58.2971,6.6607,58.05,50,30,1.14,NO,2022-09-24 10:4024
40,Khatanga,71.9667,102.5,24.69,87,100,7.27,RU,2022-09-24 10:4025
41,Bluff,-46.6,168.3333,49.8,93,95,17.63,NZ,2022-09-24 10:4025
42,Hilo,19.7297,-155.09,78.28,92,75,4.0,US,2022-09-24 10:4025
43,Tasiilaq,65.6145,-37.6368,44.76,100,100,3.74,GL,2022-09-24 10:4126
44,Grand-Lahou,5.1367,-5.0242,80.69,77,99,4.76,CI,2022-09-24 10:4127
45,Begunitsy,59.5855,29.3176,52.21,63,93,8.9,RU,2022-09-24 10:4127
46,New Norfolk,-42.7826,147.0587,45.9,80,77,1.88,AU,2022-09-24 10:4128
47,Labuhan,-6.8844,112.2051,83.88,68,32,11.45,ID,2022-09-24 10:4128
48,Brandon,27.9378,-82.2859,77.86,95,0,5.01,US,2022-09-24 10:4129
49,Nikolskoye,59.7035,30.7861,53.49,59,98,11.63,RU,2022-09-24 10:4129
50,Constitucion,-35.3333,-72.4167,50.86,92,100,3.53,CL,2022-09-24 10:4130
51,Santiago Del Estero,-27.7951,-64.2615,56.01,32,0,9.51,AR,2022-09-24 10:4130
52,Punta Arenas,-53.15,-70.9167,35.71,87,20,33.38,CL,2022-09-24 10:3907
53,Pangnirtung,66.1451,-65.7125,29.12,53,1,5.55,CA,2022-09-24 10:4131
54,Ilulissat,69.2167,-51.1,33.82,80,100,9.22,GL,2022-09-24 10:4131
55,Sao Joao Da Barra,-21.6403,-41.0511,68.09,67,100,16.78,BR,2022-09-24 10:4131
56,Jiwani,25.05,61.7417,82.9,78,73,12.86,PK,2022-09-24 10:4132
57,Port Hawkesbury,45.6169,-61.3485,58.8,98,100,17.0,CA,2022-09-24 10:4132
58,Mar Del Plata,-38.0023,-57.5575,54.09,79,0,6.91,AR,2022-09-24 10:4133
59,Waipawa,-41.4122,175.5153,49.05,97,100,11.7,NZ,2022-09-24 10:4133
60,Yellowknife,62.456,-114.3525,41.56,70,20,10.36,CA,2022-09-24 10:3755
61,Nanyamba,-10.6833,39.8333,85.8,41,49,9.57,TZ,2022-09-24 10:4134
62,Nagua,19.3832,-69.8474,76.01,93,95,3.42,DO,2022-09-24 10:4134
63,Bredasdorp,-34.5322,20.0403,68.23,45,100,9.91,ZA,2022-09-24 10:4135
64,Vanimo,-2.6741,141.3028,76.96,85,100,3.29,PG,2022-09-24 10:4135
65,Nalut,30.3333,10.85,81.25,40,0,7.85,LY,2022-09-24 10:4135
66,Saldanha,-33.0117,17.9442,66.25,64,100,8.81,ZA,2022-09-24 10:4136
67,Barrow,71.2906,-156.7887,32.02,93,100,6.91,US,2022-09-24 10:4136
