City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Novoorsk,RU,51.381,58.9813,38.05,83,100,15.19,light rain
1,Busselton,AU,-33.65,115.3333,55.27,72,0,12.8,clear sky
2,Jamestown,US,42.097,-79.2353,56.17,49,0,5.75,clear sky
3,Kaitangata,NZ,-46.2817,169.8464,45.43,61,57,3.96,broken clouds
4,Ribeira Grande,PT,38.5167,-28.7,69.03,61,49,2.17,scattered clouds
5,San Vicente,AR,-26.6167,-54.1333,57.78,94,100,3.33,overcast clouds
6,Buraydah,SA,26.326,43.975,77.45,15,0,9.51,clear sky
7,Turangi,NZ,-39.0,175.9333,53.46,97,100,1.79,moderate rain
8,Matagami,CA,49.7502,-77.6328,57.31,44,0,10.36,clear sky
9,Hilo,US,19.7297,-155.09,92.28,69,20,10.36,few clouds
10,Cidreira,BR,-30.1811,-50.2056,60.51,67,99,13.53,overcast clouds
11,Xichang,CN,27.8964,102.2634,59.34,93,25,1.95,scattered clouds
12,Barcelos,PT,41.5388,-8.6151,60.85,87,0,7.47,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,50.11,53,20,20.71,few clouds
14,Yenagoa,NG,4.9247,6.2642,74.19,95,100,3.49,light rain
15,Kahului,US,20.8947,-156.47,91.42,58,40,20.71,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,46.06,66,40,23.02,scattered clouds
17,Kayes,ML,14.0,-11.0,73.94,88,100,9.04,moderate rain
18,Albany,US,42.6001,-73.9662,58.73,69,3,4.45,clear sky
19,Bethel,US,41.3712,-73.414,62.49,67,0,8.05,clear sky
20,Tuatapere,NZ,-46.1333,167.6833,43.79,72,94,3.62,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,72.66,66,0,9.24,clear sky
22,Dong Hoi,VN,17.4833,106.6,78.13,88,100,3.89,heavy intensity rain
23,Saldanha,ZA,-33.0117,17.9442,59.05,87,86,15.57,overcast clouds
24,Calvinia,ZA,-31.4707,19.776,58.87,37,71,4.7,broken clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,76.96,92,59,7.0,broken clouds
26,Iralaya,HN,15.0,-83.2333,81.54,82,25,14.72,scattered clouds
27,Lebu,CL,-37.6167,-73.65,51.91,85,100,13.22,overcast clouds
28,Georgetown,MY,5.4112,100.3354,78.75,94,20,4.61,few clouds
29,Zaraza,VE,9.3503,-65.3245,77.86,88,100,0.36,overcast clouds
30,Bluff,NZ,-46.6,168.3333,46.54,50,57,5.3,broken clouds
31,Mataura,NZ,-46.1927,168.8643,45.91,61,58,1.07,broken clouds
32,Kapaa,US,22.0752,-159.319,85.98,64,40,11.5,scattered clouds
33,Luderitz,NA,-26.6481,15.1594,57.02,82,0,13.82,clear sky
34,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,3.0,overcast clouds
35,Martapura,ID,-3.4167,114.85,75.29,100,75,3.44,moderate rain
36,Rorvik,NO,64.8621,11.2373,50.11,71,100,5.75,overcast clouds
37,Finspang,SE,58.7058,15.7674,45.1,97,81,3.8,broken clouds
38,Talnakh,RU,69.4865,88.3972,28.17,98,100,4.36,overcast clouds
39,Kodiak,US,57.79,-152.4072,54.91,67,100,6.91,overcast clouds
40,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,54,14.65,light rain
41,Nanortalik,GL,60.1432,-45.2371,40.69,92,92,15.57,overcast clouds
42,San Cristobal,VE,7.7669,-72.225,78.98,66,78,2.91,broken clouds
43,Sarangani,PH,5.4033,125.4636,83.8,73,93,15.66,overcast clouds
44,Ilulissat,GL,69.2167,-51.1,35.62,87,75,0.0,broken clouds
45,Ixtapa,MX,20.7,-105.2,88.23,74,40,9.22,scattered clouds
46,Provideniya,RU,64.3833,-173.3,41.11,65,0,6.71,clear sky
47,Kavieng,PG,-2.5744,150.7967,83.71,69,89,12.24,overcast clouds
48,Seymchan,RU,62.8833,152.4333,28.44,90,100,8.43,light snow
49,Saint George,US,37.1041,-113.5841,95.25,25,0,5.99,clear sky
50,Cherskiy,RU,68.75,161.3,28.78,52,25,5.73,scattered clouds
51,Fortuna,US,40.5982,-124.1573,72.36,71,0,10.0,clear sky
52,Vostok,RU,46.4856,135.8833,51.03,88,10,5.23,clear sky
53,New Norfolk,AU,-42.7826,147.0587,50.92,77,26,1.01,scattered clouds
54,Atuona,PF,-9.8,-139.0333,76.75,71,36,18.7,scattered clouds
55,Baracoa,CU,20.3467,-74.4958,81.9,81,100,1.88,overcast clouds
56,San Quintin,MX,30.4833,-115.95,76.12,66,5,7.02,clear sky
57,Acarau,BR,-2.8856,-40.12,78.21,79,58,16.91,broken clouds
58,Flin Flon,CA,54.7682,-101.865,60.64,72,75,10.36,broken clouds
59,Raudeberg,NO,61.9875,5.1352,48.96,15,20,15.46,few clouds
60,Marawi,PH,7.9986,124.2928,68.81,92,99,1.61,overcast clouds
61,Barrow,US,71.2906,-156.7887,33.82,86,100,14.97,mist
62,Hermanus,ZA,-34.4187,19.2345,56.8,89,99,8.68,overcast clouds
63,Lavrentiya,RU,65.5833,-171.0,38.03,65,62,14.92,broken clouds
64,Leningradskiy,RU,69.3833,178.4167,23.49,73,68,7.56,broken clouds
65,Dongsheng,CN,39.8161,109.9776,59.02,47,0,10.18,clear sky
66,Zhigansk,RU,66.7697,123.3711,25.72,80,97,8.28,overcast clouds
67,Asau,RO,46.4333,26.4,54.52,86,20,5.53,few clouds
68,Ikalamavony,MG,-21.15,46.5833,55.89,79,1,5.57,clear sky
69,Ambilobe,MG,-13.2,49.05,65.21,76,2,4.47,clear sky
70,East Millcreek,US,40.7,-111.8105,82.67,33,75,12.66,broken clouds
71,Medea,DZ,36.2642,2.7539,58.05,59,97,10.54,overcast clouds
72,Salinopolis,BR,-0.6136,-47.3561,80.85,78,41,14.99,scattered clouds
73,Vila Do Maio,CV,15.1333,-23.2167,81.39,86,30,10.89,scattered clouds
74,Erzin,TR,36.9559,36.2,72.84,87,4,1.25,clear sky
75,Butaritari,KI,3.0707,172.7902,82.36,77,100,18.45,light rain
76,Longyearbyen,SJ,78.2186,15.6401,40.51,97,100,10.16,overcast clouds
77,San Patricio,US,28.017,-97.5169,92.16,30,0,7.52,clear sky
78,Codrington,AU,-38.2667,141.9667,50.77,89,80,9.26,broken clouds
79,Mar Del Plata,AR,-38.0023,-57.5575,56.08,65,0,11.5,clear sky
80,Honningsvag,NO,70.9821,25.9704,44.35,76,77,6.91,broken clouds
81,Avarua,CK,-21.2078,-159.775,75.25,73,75,11.5,broken clouds
82,Tiksi,RU,71.6872,128.8694,19.04,93,100,5.14,overcast clouds
83,Aripuana,BR,-9.1667,-60.6333,75.06,74,78,2.75,broken clouds
84,Qiqihar,CN,47.3408,123.9672,49.26,58,83,11.74,broken clouds
85,Tasiilaq,GL,65.6145,-37.6368,35.76,82,99,6.38,overcast clouds
86,Upernavik,GL,72.7868,-56.1549,18.93,86,15,8.28,few clouds
87,Ponta Do Sol,PT,32.6667,-17.1,71.01,76,31,4.74,scattered clouds
88,Dikson,RU,73.5069,80.5464,34.66,77,68,17.74,broken clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,87,75,14.97,broken clouds
90,Nizhnyaya Tavda,RU,57.6731,66.1725,22.64,91,14,3.2,few clouds
91,Mutis,CO,6.2262,-77.4044,80.15,81,100,7.2,light rain
92,Hobart,AU,-42.8794,147.3294,51.26,85,40,11.5,scattered clouds
93,Jackson,US,42.4165,-122.8345,78.39,40,20,4.0,few clouds
94,Sao Filipe,CV,14.8961,-24.4956,80.26,82,9,12.39,clear sky
95,Barinas,VE,8.6226,-70.2075,86.04,62,100,3.44,overcast clouds
96,Dunedin,NZ,-45.8742,170.5036,46.8,65,20,11.99,few clouds
97,Vao,NC,-22.6667,167.4833,74.35,80,100,24.2,overcast clouds
